Item_Name,Size,Order_Qty,Rcvd_Qty,Cost,Extended_Cost
"Frdg Pk, Seagrams Gingerale",CASE (2  1 Each),1.0,1.0,9.57,9.57
"Frdg Pk, Sprite",CASE (2  1 Each),2.0,2.0,9.57,19.14
"20 ounce, Fuze Lemon Tea",CASE (24  1 Each),1.0,1.0,20.33,20.33
"Gold Peak, Sweetened Tea",CASE (12  1 Each),4.0,4.0,15.71,62.84
"Gold Peak, Unsweetened tea",CASE (12  1 Each),1.0,1.0,15.71,15.71
"Honest Tea, Half and Half",CASE (12  1 Each),2.0,2.0,15.52,31.04
"Honest Tea, Honey Green",CASE (12  1 Each),2.0,2.0,15.52,31.04
"Honest Tea, Peach White Tea",CASE (12  1 Each),1.0,1.0,15.52,15.52
"Huberts, Original",CASE (12  1 Each),2.0,2.0,20.6,41.2
Core Power Chocolate,CASE (12  1 Each),3.0,3.0,29.65,88.95
Core Power Strawberry Banana,CASE (12  1 Each),1.0,1.0,29.65,29.65
Core Power Vanilla,CASE (12  1 Each),4.0,4.0,29.65,118.6
"Dasani, 20oz",CASE (24  1 Each),6.0,6.0,14.47,86.82
"Dasani, 8pk -12 OZ(3 per case)",CASE (3  8 Each),6.0,5.0,12.26,61.3
"Dasani, Berry 8pk -12 OZ(3 per case)",CASE (3  8 Each),1.0,1.0,9.57,9.57
"Dasani, Lime 8pk -12 OZ(3 per case)",CASE (3  8 Each),1.0,1.0,9.57,9.57
"Dasani, Liter",CASE (12  1 Liter),5.0,5.0,19.49,97.45
"Smart Water, 1 Liter",CASE (12  1 Each),16.0,16.0,17.31,276.96
"Smart Water, 1.5Liter",CASE (12  1 Each),8.0,8.0,22.73,181.84
"Smart Water, 24oz sport cap",CASE (24  1 Each),10.0,10.0,27.05,270.5
"Dunkin Donuts Coffee, French Vanilla",CASE (12  1 Each),1.0,1.0,24.72,24.72
"Dunkin Donuts Coffee, Mocha",CASE (12  1 Each),1.0,1.0,24.72,24.72
