Item_Name,Size,Order_Qty,Rcvd_Qty,Cost,Extended_Cost
"Tropicana 12oz, Watermelon",CASE (12  1 Each),2.0,2.0,15.48,30.96
"12oz, Bubly Blackberry 8pks",CASE (3  8 Each),2.0,2.0,9.0,18.0
"12oz, Bubly Cherry 8pks",CASE (3  8 Each),2.0,2.0,9.0,18.0
"12oz, Bubly Grapefruit 8pks",CASE (3  8 Each),2.0,2.0,9.0,18.0
"12oz, Bubly Lime 8pks",CASE (3  8 Each),2.0,2.0,9.0,18.0
"12oz, Diet Dr Pepper 12packs",CASE (2  1 Each),1.0,1.0,9.0,9.0
"12oz, Diet Pepsi 12packs",CASE (2  1 Each),1.0,1.0,9.0,9.0
"12oz, Dr Pepper 12packs",CASE (2  1 Each),2.0,2.0,9.0,18.0
"12oz, Mountain Dew 12packs",CASE (2  1 Each),1.0,1.0,9.0,9.0
"12oz, Pepsi 12packs",CASE (2  1 Each),2.0,2.0,9.0,18.0
"20oz, Pepsi",CASE (24  1 Each),1.0,1.0,19.0,19.0
"20oz, Schweppes Ginger Ale",CASE (24  1 Each),3.0,3.0,19.0,57.0
"Bundaberg, Ginger Beer",CASE (24  1 Each),2.0,2.0,31.82,63.64
"Kevita, Ginger",CASE (12  1 Each),1.0,1.0,13.5,13.5
"Kevita, Mojita",CASE (12  1 Each),1.0,1.0,13.5,13.5
"Kevita, Pinapple Peach",CASE (12  1 Each),1.0,1.0,13.5,13.5
"Kevita, Raspberry Lemon",CASE (12  1 Each),1.0,1.0,13.5,13.5
"Pure Leaf Cold Brew, Tropical Mango",CASE (12  1 Each),2.0,2.0,19.09,38.18
"Pure Leaf Tea, Extra Sweet",CASE (12  1 Each),3.0,3.0,14.58,43.74
"Pure Leaf Tea, Raspberry",CASE (12  1 Each),2.0,2.0,14.58,29.16
"Pure Leaf Tea, Sweet",CASE (12  1 Each),2.0,2.0,14.58,29.16
"Pure Leaf Tea, Unsweetened Black",CASE (12  1 Each),2.0,2.0,14.58,29.16
Aquafina 1 Liter,CASE (12  1 Each),4.0,4.0,14.31,57.24
Aquafina 16.9oz,CASE (24  1 Each),2.0,2.0,6.0,12.0
"Bubly 16oz, Blackberry",CASE (12  1 Each),3.0,3.0,9.0,27.0
"Bubly 16oz, Cherry",CASE (12  1 Each),3.0,3.0,9.0,27.0
"Bubly 16oz, Grapefruit",CASE (12  1 Each),3.0,3.0,9.0,27.0
"Bubly 16oz, Lime",CASE (12  1 Each),3.0,3.0,9.0,27.0
"Bubly 16oz, Strawberry",CASE (12  1 Each),3.0,3.0,9.0,27.0
"Starbucks, Frappuccino, Mocha",CASE (12  1 Each),2.0,2.0,24.0,48.0
"Starbucks, Frappuccino, Toasted White Chocolate",CASE (12  1 Each),1.0,1.0,24.0,24.0
"Starbucks, Nitro, Black",CASE (12  1 Each),2.0,2.0,28.0,56.0
"Starbucks, Nitro, Dark Caramel",CASE (12  1 Each),2.0,2.0,28.0,56.0
"Starbucks, Nitro, Vanilla Sweet Cream",CASE (12  1 Each),2.0,2.0,28.0,56.0
"Starbucks, small, Double shot Espresso and Cream",CASE (12  1 Each),4.0,4.0,23.94,95.76
"Gatorade 20oz, Cool Blue",CASE (24  1 Each),1.0,1.0,18.0,18.0
"Gatorade 20oz, Glacier Freeze",CASE (24  1 Each),2.0,2.0,18.0,36.0
"Gatorade 20oz, Lemon-Lime",CASE (24  1 Each),1.0,1.0,18.0,18.0
"Gatorade ZERO 20oz, Glacier Cherry",CASE (24  1 Each),1.0,1.0,18.0,18.0
"Gatorade ZERO 20oz, Glacier Freeze",CASE (24  1 Each),1.0,1.0,18.0,18.0
"Naked 15.2oz, Green Machine",Case (8  1 Each),3.0,3.0,18.24,54.72
"Naked 15.2oz, Kale Blazer",Case (8  1 Each),2.0,2.0,21.2,42.4
"Naked 15.2oz, Orange Carrot",Case (8  1 Each),2.0,2.0,18.24,36.48
"Tropicana 12oz, Apple Juice",CASE (12  1 Each),2.0,2.0,15.48,30.96
"Tropicana 12oz, Lemonade",CASE (12  1 Each),2.0,2.0,15.48,30.96
"Tropicana 12oz, Orange Juice No Pulp",CASE (12  1 Each),6.0,6.0,15.48,92.88
"Tropicana 12oz, Watermelon",CASE (12  1 Each),2.0,2.0,15.48,30.96
"1 Liter, Dr Pepper",CASE (12  1 Each),1.0,1.0,25.46,25.46
