Item_Name,Size,Order_Qty,Rcvd_Qty,Cost,Extended_Cost
"Ben n Jerry's Pint, Sorbet Pucker Upper",Case (8  1 Each),1.0,1.0,31.6,31.6
"Ben n Jerry's Pint, Wake & Bake",Case (8  1 Each),1.0,1.0,31.6,31.6
Ben n Jerry's Sliced Cookie Dough (sandwich),CASE (24  1 Each),1.0,1.0,33.3,33.3
Breyers Chocolate,CASE (6 Each),1.0,1.0,34.76,34.76
CPK 12 thin c bbq chicken,CASE (12 2 Fl Ozs),1.0,1.0,72.8,72.8
CPK 12 thin c signature pepp,CASE (12 2 Fl Ozs),1.0,1.0,72.8,72.8
Evol Butternut Squash,Case (8  1 Each),2.0,2.0,31.68,63.36
Evol SSRV Fire Grill Steak,Case (8  1 Each),1.0,1.0,31.68,31.68
Evol SSRV Mac&Cheese Truffle,Case (8  1 Each),1.0,1.0,31.68,31.68
Haagen-dazs Van Carm,CASE (12  1 Each),1.0,1.0,33.28,33.28
King chocolate vanilla cone,CASE (24  1 Each),1.0,1.0,22.44,22.44
"Klondike Bar, Giant Original Vanilla",CASE (24  1 Each),1.0,1.0,26.8,26.8
Kraft American Singles,EACH (Each),6.0,6.0,4.21,25.26
"Odwalla, C Monster 450mL",Case (8  1 Each),1.0,1.0,18.4,18.4
"Odwalla, Mango Tango",Case (8  1 Each),2.0,2.0,18.4,36.8
"Odwalla, Mo' Beta",Case (8  1 Each),1.0,1.0,18.4,18.4
"Odwalla, Protein Monster Chocolate",Case (8  1 Each),1.0,1.0,18.4,18.4
"Odwalla, Protein Monster Vanilla",Case (8  1 Each),1.0,1.0,18.4,18.4
"Odwalla, Strawberry Banana",Case (8  1 Each),2.0,2.0,18.4,36.8
"Simply, 52z Lemonade",CASE (6  1 Each),2.0,2.0,16.8,33.6
"Simply, 52z Orange Juice",CASE (6  1 Each),3.0,3.0,22.62,67.86
"Simply, 52z Orange with Mango",CASE (6  1 Each),3.0,3.0,22.62,67.86
"Simply, 52z Rasp Lemonade",CASE (6  1 Each),6.0,6.0,16.8,100.8
F'REAL Cookie Cream,CASE (12  1 Each),1.0,1.0,20.04,20.04
