"Item Name
","Size
","Order
Qty","Rcvd
Qty","Cost
","Extended
Cost",  ,
"Dasani, Liter",CASE (12  1 Liter),2,2,19.49,38.98,,
"Smart Water, 1 Liter",CASE (12  1 Each),6,6,17.31,103.86,,
"Smart Water, 1.5Liter",CASE (12  1 Each),6,6,22.73,136.38,,
"Smart Water, 24oz sport cap",CASE (24  1 Each),4,4,27.05,108.20,,
"Dunkin Donuts Coffee, French Vanilla",CASE (12  1 Each),2,2,24.72,49.44,,
"Dunkin Donuts Coffee, Mocha",CASE (12  1 Each),1,1,24.72,24.72,,
"Dunkin Donuts Coffee, Orig",CASE (12  1 Each),2,2,24.72,49.44,,
,,,,,,,
14Z Yup Chocolate,CASE (12  14.16 Ounces),1,1,17.51,17.51,,
14Z Yup Lowfat,CASE (12  12 Ounces),1,1,17.51,17.51,,
14Z Yup Strawberry,CASE (12  14.16 Ounces),2,2,17.51,35.02,,
14Z Yup Vanilla,CASE (12  14.16 Ounces),2,2,17.51,35.02,,
,,,,,,,
"Energy, 16oz Monster, Ultra Blue",CASE (24  1 Each),1,1,39.98,39.98,,
"Energy, 16oz Monster, Ultra White",CASE (24  1 Each),1,1,39.98,39.98,,
"Energy, 16oz. Monster, Original (green)",CASE (24  1 Each),1,1,39.98,39.98,,
,,,,,,,
"20 Ounce, Orange Vanilla Coke",CASE (24  1 Each),1,1,20.33,20.33,,
"Dasani Drops, Pink Lemonade",CASE (6  1 Each),,1,,0.00,,
"Dasani Drops, Strawberry Kiwi",CASE (6  1 Each),,1,,0.00,,
Powerade Mountain Blast 20oz,CASE (24  1 Each),1,1,23.03,23.03,,
"Powerade, 28oz Fruit Punch",CASE (15  1 Each),1,1,22.13,22.13,,
"Powerade, 28oz Melon",CASE (15  1 Each),1,1,22.13,22.13,,
"Powerade, 28oz Mountain Berry Blast",CASE (15  1 Each),1,1,22.13,22.13,,
"Vitamin Water, 20z energy",CASE (12  1 Each),1,1,12.99,12.99,,
"Vitamin Water, 20z focus",CASE (12  1 Each),2,2,12.99,25.98,,
"Vitamin Water, 20z Power C",CASE (12  1 Each),2,2,12.99,25.98,,
"Vitamin Water, 20z XXX",CASE (12  1 Each),2,2,12.99,25.98,,
"Vitamin Water, 20z Zero Rise",CASE (12  1 Each),1,1,12.99,12.99,,
"Vitamin Water, 20z Zero Sqez",CASE (12  1 Each),2,2,12.99,25.98,,
,,,,,,,
"20 ounce, Cherry Coke Zero",CASE (24  1 Each),1,1,20.33,20.33,,
"20 Ounce, Coke Zero",CASE (24  1 Each),1,1,20.33,20.33,,
"20 ounce, Diet Coke",CASE (24  1 Each),1,1,20.33,20.33,,
"20 Ounce, Fanta Grape",CASE (24  1 Each),1,1,20.33,20.33,,
