"Item Name
","Size
","Order
Qty","Rcvd
Qty","Cost
","Extended
Cost"
"Pure Leaf Cold Brew, Light Sweet Black",CASE (12  1 Each),1,1,19.09,19.09
"Pure Leaf Cold Brew, Tropical Mango",CASE (12  1 Each),1,1,19.09,19.09
"Pure Leaf Tea, Extra Sweet",CASE (12  1 Each),1,1,14.58,14.58
"Pure Leaf Tea, Lemon",CASE (12  1 Each),1,1,14.58,14.58
"Pure Leaf Tea, Mango Hibiscus",CASE (12  1 Each),1,1,14.58,14.58
"Pure Leaf Tea, Sweet",CASE (12  1 Each),1,1,14.58,14.58
"Pure Leaf Tea, Unsweetened Black",CASE (12  1 Each),1,1,14.58,14.58
Aquafina 1 Liter,CASE (12  1 Each),4,4,14.31,57.24
Aquafina 16.9oz,CASE (24  1 Each),4,4,6,24
"Bubly 16oz, Blackberry",CASE (12  1 Each),1,1,9,9
"Bubly 16oz, Cherry",CASE (12  1 Each),1,1,9,9
"Bubly 16oz, Grapefruit",CASE (12  1 Each),1,1,9,9
"Bubly 16oz, Lime",CASE (12  1 Each),1,1,9,9
LifeWTR 1 Liter,CASE (12  1 Each),4,4,17,68
LifeWTR 1.5 Liter,CASE (12  1 Each),1,1,21,21
LifeWTR 700ml Sport Cap,CASE (12  1 Each),6,6,14,84
Voss Glass Still 800ml,CASE (12  1 Each),2,2,22.8,45.6
Starbucks CB BLK UNSW,CASE (12  11 Ounces),10,10,28.64,286.4
"Starbucks, Double Shot Mocha Energy",CASE (12  1 Each),2,2,27,54
"Starbucks, Double Shot Vanilla Energy",CASE (12  1 Each),2,2,27,54
"Starbucks, Frappuccino, Mocha",CASE (12  1 Each),1,1,24,24
"Starbucks, Frappuccino, Vanilla",CASE (12  1 Each),1,1,24,24
"Starbucks, Frappuccino, Vanilla",CASE (12  1 Each),1,1,24,24
"Starbucks, Nitro, Black",CASE (12  1 Each),2,2,28,56
"Starbucks, Nitro, Dark Caramel",CASE (12  1 Each),2,2,28,56
"Starbucks, Nitro, Vanilla Sweet Cream",CASE (12  1 Each),2,2,28,56
"Starbucks, small, Double shot, salted caramel",CASE (12  1 Each),4,4,23.94,95.76
,,,,,
"Mountain Dew, Game Fuel Cherry Burst",CASE (12  1 Each),2,2,19.57,39.14
"Mountain Dew, Game Fuel Original",CASE (12  1 Each),1,1,19.57,19.57
"Muscle Milk, Chocolate",CASE (12  1 Each),3,3,38,114
"Muscle Milk, Strawberry & Cream",CASE (12  1 Each),2,2,38,76
"Muscle Milk, Vanilla",CASE (12  1 Each),3,3,38,114
,,,,,
"Naked 15.2oz, Green Machine",Case (8  1 Each),2,2,18.24,36.48
"Naked 15.2oz, Mighty Mango",Case (8  1 Each),1,1,18.24,18.24
"Naked 15.2oz, Power C Machine",Case (8  1 Each),2,2,18.24,36.48
"Tropicana 12oz, Apple Juice",CASE (12  1 Each),2,2,15.48,30.96
"Tropicana 12oz, Raspberry Lemonade",CASE (12  1 Each),2,2,15.48,30.96
,,,,,
"1 Liter, Dr Pepper",CASE (12  1 Each),1,1,25.46,25.46
"1 Liter, Pepsi",CASE (12  1 Each),1,1,25.46,25.46
"1.5 Liter, Schweppes Ginger Ale",CASE (12  1 Each),1,1,19.1,19.1
"12oz, Bubly Blackberry 8pks",CASE (3  8 Each),1,1,9,9
"12oz, Bubly Cherry 8pks",CASE (3  8 Each),1,1,9,9
"12oz, Bubly Grapefruit 8pks",CASE (3  8 Each),2,2,9,18
"12oz, Bubly Lime 8pks",CASE (3  8 Each),3,3,9,27
"12oz, Dr Pepper 12packs",CASE (2  1 Each),2,1,9,9
"12oz, Mountain Dew 12packs",CASE (2  1 Each),2,1,9,9
"12oz, Pepsi 12packs",CASE (2  1 Each),2,1,9,9
"20oz, Diet Dr. Pepper",CASE (24  1 Each),1,1,19,19
"20oz, Diet Mountain Dew",CASE (24  1 Each),1,1,19,19
"20oz, Dr. Pepper",CASE (24  1 Each),1,1,19,19
"20oz, Dr. Pepper",CASE (24  1 Each),1,1,19,19
"20oz, Mountain Dew",CASE (24  1 Each),1,1,19,19
"20oz, Pepsi",CASE (24  1 Each),1,1,19,19
"20oz, Pepsi Zero",CASE (24  1 Each),1,1,19,19
"Bundaberg, Ginger Beer",CASE (24  1 Each),4,4,31.82,127.28
"Bundaberg, Root Beer",CASE (24  1 Each),4,4,31.82,127.28
"Kevita, Ginger",CASE (12  1 Each),2,2,13.5,27
"Kevita, Mojita",CASE (12  1 Each),2,2,13.5,27
"Kevita, Pinapple Peach",CASE (12  1 Each),2,2,13.5,27
"Kevita, Raspberry Lemon",CASE (12  1 Each),2,2,13.5,27
"Pure Leaf Tea, Extra Sweet",CASE (12  1 Each),2,2,14.58,29.16
"Pure Leaf Tea, Sweet",CASE (12  1 Each),2,2,14.58,29.16
"Pure Leaf Tea, Unsweetened Black",CASE (12  1 Each),1,1,14.58,14.58
Aquafina 1 Liter,CASE (12  1 Each),2,2,14.31,28.62
LifeWTR 1 Liter,CASE (12  1 Each),8,8,17,136
LifeWTR 1.5 Liter,CASE (12  1 Each),4,4,21,84
LifeWTR 500ml,CASE (4  6 Each),10,10,25.46,254.6
LifeWTR 700ml Sport Cap,CASE (12  1 Each),4,4,14,56
Starbucks CB BLK UNSW,CASE (12  11 Ounces),4,4,28.64,114.56
"Starbucks, Double Shot Mocha Energy",CASE (12  1 Each),1,1,27,27
"Starbucks, Double Shot Vanilla Energy",CASE (12  1 Each),1,1,27,27
"Starbucks, Double Shot White Chocolate",CASE (12  1 Each),1,1,27,27
"Starbucks, Frappuccino, Brown Butter Caramel",CASE (12  1 Each),1,1,24,24
"Starbucks, Frappuccino, Coffee",CASE (12  1 Each),1,1,24,24
"Starbucks, Frappuccino, Mocha",CASE (12  1 Each),2,2,24,48
"Starbucks, Frappuccino, Toasted White Chocolate",CASE (12  1 Each),1,1,24,24
"Starbucks, Triple Shot, French Vanilla",CASE (12  1 Each),1,1,27,27
"Starbucks, Triple Shot, Mocha",CASE (12  1 Each),1,1,27,27
"Bang, Black Cherry Vanilla",CASE (12  1 Each),1,1,19,19
"Bang, Sour Heads",CASE (12  1 Each),1,1,19,19
"Bang, Star Blast",CASE (12  1 Each),1,1,19,19
"Muscle Milk, Chocolate",CASE (12  1 Each),2,2,38,76
"Muscle Milk, Strawberry & Cream",CASE (12  1 Each),2,2,38,76
"Muscle Milk, Vanilla",CASE (12  1 Each),2,2,38,76
,,,,,
"Gatorade 20oz, Cool Blue",CASE (24  1 Each),1,1,18,18
"Gatorade 20oz, Fruit Punch",CASE (24  1 Each),1,1,18,18
"Gatorade 20oz, Glacier Freeze",CASE (24  1 Each),1,1,18,18
"Gatorade 20oz, Lemon-Lime",CASE (24  1 Each),1,1,18,18
"Gatorade 20oz, Orange",CASE (24  1 Each),1,1,18,18
"Gatorade ZERO 20oz, Glacier Cherry",CASE (24  1 Each),1,1,18,18
"Gatorade ZERO 20oz, Glacier Freeze",CASE (24  1 Each),1,1,18,18
,,,,,
"1 Liter, Diet Pepsi",CASE (12  1 Each),1,1,25.46,25.46
"1 Liter, Dr Pepper",CASE (12  1 Each),1,1,25.46,25.46
"1 Liter, Pepsi",CASE (12  1 Each),1,1,25.46,25.46
"1.5 Liter, Schweppes Ginger Ale",CASE (12  1 Each),1,1,19.1,19.1
"12oz, Bubly Blackberry 8pks",CASE (3  8 Each),1,1,9,9
"12oz, Bubly Cherry 8pks",CASE (3  8 Each),1,1,9,9
"12oz, Bubly Grapefruit 8pks",CASE (3  8 Each),2,2,9,18
"12oz, Bubly Lime 8pks",CASE (3  8 Each),2,2,9,18
"12oz, Dr Pepper 12packs",CASE (2  1 Each),2,2,9,18
"12oz, Mountain Dew 12packs",CASE (2  1 Each),1,1,9,9
"12oz, Pepsi 12packs",CASE (2  1 Each),2,2,9,18
"20oz, Diet Dr. Pepper",CASE (24  1 Each),1,1,19,19
"20oz, Dr. Pepper",CASE (24  1 Each),1,1,19,19
"Pure Leaf Cold Brew, Light Sweet Black",CASE (12  1 Each),2,2,19.09,38.18
"Pure Leaf Tea, Extra Sweet",CASE (12  1 Each),2,2,14.58,29.16
"Pure Leaf Tea, Mango Hibiscus",CASE (12  1 Each),1,1,14.58,14.58
"Pure Leaf Tea, Sweet",CASE (12  1 Each),2,2,14.58,29.16
,,,,,
Aquafina 1 Liter,CASE (12  1 Each),1,1,14.31,14.31
Aquafina 16.9oz,CASE (24  1 Each),2,2,6,12
"Bubly 16oz, Blackberry",CASE (12  1 Each),2,2,9,18
"Bubly 16oz, Cherry",CASE (12  1 Each),2,2,9,18
"Bubly 16oz, Grapefruit",CASE (12  1 Each),2,2,9,18
"Bubly 16oz, Lime",CASE (12  1 Each),2,2,9,18
LifeWTR 1 Liter,CASE (12  1 Each),8,8,17,136
LifeWTR 1.5 Liter,CASE (12  1 Each),4,4,21,84
LifeWTR 500ml,CASE (4  6 Each),6,6,25.46,152.76
LifeWTR 700ml Sport Cap,CASE (12  1 Each),8,8,14,112
"Starbucks, Double Shot Mocha Energy",CASE (12  1 Each),2,2,27,54
"Starbucks, Frappuccino, Brown Butter Caramel",CASE (12  1 Each),2,2,24,48
"Starbucks, Frappuccino, Mocha",CASE (12  1 Each),4,4,24,96
"Starbucks, Frappuccino, Toasted White Chocolate",CASE (12  1 Each),1,1,24,24
"Starbucks, Nitro, Black",CASE (12  1 Each),5,5,28,140
"Starbucks, Nitro, Dark Caramel",CASE (12  1 Each),1,1,28,28
"Starbucks, Nitro, Vanilla Sweet Cream",CASE (12  1 Each),3,3,28,84
"Starbucks, small, Double shot Espresso and Cream",CASE (12  1 Each),2,2,23.94,47.88
"Starbucks, Triple Shot, French Vanilla",CASE (12  1 Each),1,1,27,27
,,,,,
"Bang, Black Cherry Vanilla",CASE (12  1 Each),2,2,19,38
"Bang, Sour Heads",CASE (12  1 Each),2,2,19,38
"Bang, Star Blast",CASE (12  1 Each),2,2,19,38
"Mountain Dew, Game Fuel Cherry Burst",CASE (12  1 Each),1,1,19.57,19.57
"Mountain Dew, Game Fuel Original",CASE (12  1 Each),2,2,19.57,39.14
