"Item Name
",,"Size
","Order
Qty","Rcvd
Qty","Cost
","Extended
Cost"
"Odwalla, Strawberry C Monster",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Superfood",,Case (8  1 Each),1,1,18.40,18.40
,,,,,,
,,,,,,
"Ben n Jerry's Non-Dairy Pint, PButter Cookie",,Case (8  1 Each),1,1,41.28,41.28
"Ben n Jerry's Pint, Chocolate Fudge Brownie Fro Yo",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Core, The Tonight Dough",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Milk n Cookie",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Mint Chocolate Cookie",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Oat of this Swi",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Peanut Butter Cup",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Pistachio Pistachio",,Case (8  1 Each),1,1,31.60,31.60
"Ben n Jerry's Pint, Vanilla",,Case (8  1 Each),1,1,31.60,31.60
Evol SSRV Fire Grill Steak,,Case (8  1 Each),2,2,31.68,63.36
Evol SSRV Mac&Cheese Truffle,,Case (8  1 Each),2,2,31.68,63.36
Magnum Pint White Choc Van,,CASE (12  1 Each),1,1,29.28,29.28
"Talenti Gelato, Double Dark Chocolate",,Case (8  1 Each),1,1,34.32,34.32
"Talenti Gelato, Pistachio",,Case (8  1 Each),1,1,34.32,34.32
"Talenti Gelato, Roman Rasberry",,Case (8  1 Each),1,1,34.32,34.32
,,,,,,
,,,,,,
"Odwalla, Protein Monster Vanilla",,Case (8  1 Each),1,1,18.40,18.40
"Odwalla, Strawberry Banana",,Case (8  1 Each),2,2,18.40,36.80
"Odwalla, Strawberry C Monster",,Case (8  1 Each),2,2,18.40,36.80
"Odwalla, Superfood",,Case (8  1 Each),2,2,18.40,36.80
"Simply, 52z Lemonade",,CASE (6  1 Each),2,2,16.80,33.60
